year,semester,campus,course_prefix,course_num,total_enrolled,passed_count,failed_count,fail_ratio,is_offered
2021,Fall,Beirut,CSC,460,33,28,1,0.151515152,1
2021,Fall,Beirut,CSC,480,92,87,5,0.054347826,1
2021,Fall,Beirut,CSC,490,23,20,2,0.130434783,1
2021,Fall,Beirut,CSC,491,1,1,0,0,1
2021,Fall,Beirut,CSC,599,33,32,1,0.03030303,1
2021,Fall,Beirut,CSC,600,9,9,0,0,1
2021,Fall,Beirut,CSC,611,8,7,0,0.125,1
2021,Fall,Beirut,CSC,636,15,14,0,0.066666667,1
2021,Fall,Beirut,CSC,660,10,9,0,0.1,1
2021,Fall,Beirut,CSC,698,1,0,0,1,1
2021,Fall,Beirut,CSC,699,10,3,0,0.7,1
2021,Fall,Beirut,MTH,101,92,69,15,0.25,1
2021,Fall,Beirut,MTH,102,42,21,14,0.5,1
2021,Fall,Beirut,MTH,201,258,146,52,0.434108527,1
2021,Fall,Beirut,MTH,207,241,193,22,0.199170124,1
2021,Fall,Beirut,MTH,301,26,19,3,0.269230769,1
2021,Fall,Beirut,MTH,303,33,27,5,0.181818182,1
2021,Fall,Beirut,MTH,304,31,21,1,0.322580645,1
2021,Fall,Beirut,MTH,305,38,25,11,0.342105263,1
2021,Fall,Beirut,MTH,311,26,16,3,0.384615385,1
2021,Fall,Beirut,MTH,400,30,27,2,0.1,1
2021,Fall,Beirut,MTH,401,16,15,1,0.0625,1
2021,Fall,Beirut,MTH,402,5,5,0,0,1
2021,Fall,Beirut,MTH,410,11,10,1,0.090909091,1
2021,Fall,Beirut,STA,102,22,18,3,0.181818182,1
2021,Fall,Beirut,STA,205,194,120,28,0.381443299,1
2021,Fall,Beirut,STA,302,82,55,19,0.329268293,1
2021,Fall,Beirut,BIF,498B,1,1,0,0,1
2021,Fall,Beirut,BIF,498F,1,1,0,0,1
2021,Fall,Beirut,CSC,498H,20,12,5,0.4,1
2021,Fall,Beirut,CSC,498X,53,50,3,0.056603774,1
2021,Fall,Beirut,CSC,498HK,2,2,0,0,1
2021,Fall,Byblos,BIF,205,25,15,4,0.4,1
2021,Fall,Byblos,BIF,243,20,13,2,0.35,1
2021,Fall,Byblos,BIF,245,2,2,0,0,1
2021,Fall,Byblos,BIF,310,4,4,0,0,1
2021,Fall,Byblos,BIF,345,13,12,1,0.076923077,1
2021,Fall,Byblos,BIF,375,17,17,0,0,1
2021,Fall,Byblos,BIF,524,9,8,1,0.111111111,1
2021,Fall,Byblos,BIF,599,6,5,1,0.166666667,1
2021,Fall,Byblos,CSC,201,178,160,11,0.101123596,1
2021,Fall,Byblos,CSC,206,25,22,0,0.12,1
2021,Fall,Byblos,CSC,243,81,61,14,0.24691358,1
2021,Fall,Byblos,CSC,245,24,13,10,0.458333333,1
2021,Fall,Byblos,CSC,310,23,18,4,0.217391304,1
2021,Fall,Byblos,CSC,326,20,20,0,0,1
2021,Fall,Byblos,CSC,375,20,20,0,0,1
2021,Fall,Byblos,CSC,430,13,13,0,0,1
2021,Fall,Byblos,CSC,443,50,41,5,0.18,1
2021,Fall,Byblos,CSC,460,25,24,0,0.04,1
2021,Fall,Byblos,CSC,491,1,1,0,0,1
2021,Fall,Byblos,CSC,599,3,3,0,0,1
2021,Fall,Byblos,CSC,600,7,7,0,0,1
2021,Fall,Byblos,CSC,611,12,9,1,0.25,1
2021,Fall,Byblos,CSC,698,2,2,0,0,1
2021,Fall,Byblos,CSC,699,3,1,0,0.666666667,1
2021,Fall,Byblos,MTH,101,59,42,7,0.288135593,1
2021,Fall,Byblos,MTH,201,247,155,56,0.372469636,1
2021,Fall,Byblos,MTH,206,35,19,8,0.457142857,1
2021,Fall,Byblos,MTH,207,147,101,38,0.31292517,1
2021,Fall,Byblos,MTH,304,48,37,3,0.229166667,1
2021,Fall,Byblos,MTH,305,27,19,8,0.296296296,1
2021,Fall,Byblos,STA,205,127,96,13,0.244094488,1
2021,Fall,Byblos,STA,302,25,17,7,0.32,1
2021,Fall,Byblos,BIF,599H,2,1,1,0.5,1
2021,Fall,Byblos,CSC,498H,2,1,0,0.5,1
2021,Fall,Byblos,CSC,688P,22,21,1,0.045454545,1
2021,Fall,Byblos,BIF,498HB,1,0,0,1,1
2021,Fall,Byblos,CSC,498HJ,2,2,0,0,1
